customer_id,manager_id,campaign_id,campaign_name,current_budget_gbp,new_budget_gbp,action
8573235780,2569949686,8161289137,Brand Search | UK | Main,323.48,823.48,BUDGET_CHANGE
8573235780,2569949686,8160981697,Generic Search | UK | Main,261.97,561.97,BUDGET_CHANGE
8573235780,2569949686,8161289257,Performance Max | UK | Main,455.81,1055.81,BUDGET_CHANGE
7679616761,2569949686,8161387697,Brand Search | EUR | Main,78.37,227.37,BUDGET_CHANGE
7679616761,2569949686,8154887417,Brand Shopping | EUR | Main,169.68,319.68,BUDGET_CHANGE
7808690871,2569949686,21608113564,Brand Search | USA | Main,100.00,400.00,BUDGET_CHANGE
7808690871,2569949686,21608114244,Performance Max | USA | Main,300.00,900.00,BUDGET_CHANGE
