search_term,campaign,clicks,spend_gbp,conversions,daily_click_rate,recommendation
wheat bag company,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11 120 9/12,47,£25.96,0,0.78,Add as exact match negative keyword immediately
microwave heat pack,CPL | WBS | Search | Wheat Bags 120 28/5 Ai 7/8 110 10/11 120 9/12,51,£24.37,0,0.85,Add as exact match negative keyword immediately
