Campaign,Campaign ID,Daily Budget,Budget
DEV | Properties CE & BE | P Max | All 500 480 27/6 500 28/7 450 7/8,18899261254,36,£36.00
DEV | Properties BE | Devonshire Arms Hotel 470 20/9 480 8/5 Ai 19/8,19577006833,71,£71.00
DEV | Properties CE | Cavendish 400 460 3/4 480 8/5 500 28/7,21839323410,50,£50.00
DEV | Properties CE | The Beeley Inn 480 8/5 500 28/7,22539873565,22,£22.00
DEV | Properties CE | Chatsworth Escapes Inns & Hotels 460 28/7 500 28/7,2080736142,15,£15.00
DEV | Properties CE | The Pilsley Inn 420 480 8/5 500 28/7,19534106385,20,£20.00
DEV | Properties BE | The Fell 500 11/6,22666031909,22,£22.00
DEV | Properties | Chatsworth Escapes Locations 500 28/7 Ai Max 5/8,19654308682,18,£18.00
DEV | Properties CE | Chatsworth Escapes Self Catering 480 8/5 500 28/7 Ai Max 5/8,19534201089,15,£15.00
DEV | Properties BE | Bolton Abbey Escapes Self Catering 480 8/5 500 28/7,22536922700,9,£9.00
