Account,Action,Campaign,Ad group,Ad ID,Ad type,Ad status,Headline 1#Original,Headline 2#Original,Headline 3#Original,Headline 4#Original,Headline 5#Original,Headline 6#Original,Headline 7#Original,Headline 8#Original,Headline 9#Original,Headline 10#Original,Headline 11#Original,Headline 12#Original,Headline 13#Original,Headline 14#Original,Headline 15#Original,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1#Original,Description 2#Original,Description 3#Original,Description 4#Original,Description 1,Description 2,Description 3,Description 4,Final URL
5556710725,Edit,SMY | ROW | Search | Brand Ai,ROW | Brand,784326640553,Responsive search ad,ENABLED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Personalise your order today,Over 135 years of expertise,Luxury personalised gifts,Timeless leather craftsmanship,,,,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Personalise your order today,Over 135 years of expertise,Luxury personalised gifts,Timeless leather craftsmanship,,,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/int/
5556710725,Edit,SMY | ROW | Search | Brand Diaries and Organisers,ROW - semi-brand - diaries and organisers - diaries,773497251588,Responsive search ad,ENABLED,Smythson of Bond Street™,Luxury Leather Diaries,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Smythson Portobello Diary,Crafted in England,,,Smythson of Bond Street™,Luxury Leather Diaries,Over 135 Years Of Expertise,Luxury Leather Craftsmanship,Enjoy Complimentary Returns,Personalisation Available,Personalise Your Order Today,Discover Gifts For Him & Her,Shop The 2026 Diary Collection,Exclusive Luxury Gift Wrapping,Uncover Our Latest Collection,Smythson Portobello Diary,Crafted in England,,,Start Planning Next Year's Adventures With Our 2026 Diaries.,Crafted with Featherweight Paper And Leather For Effortless Planning.,"Discover Luxury Leather Diaries, Bags, Notebooks, Stationery & More.",Explore Gold-Stamped Initials Motifs & More To Make Your Diary Uniquely Yours.,Start Planning Next Year's Adventures With Our 2026 Diaries.,Crafted with Featherweight Paper And Leather For Effortless Planning.,"Discover Luxury Leather Diaries, Bags, Notebooks, Stationery & More.",Explore Gold-Stamped Initials Motifs & More To Make Your Diary Uniquely Yours.,https://www.smythson.com/int/diaries-and-books/diaries/all-diaries
5556710725,Edit,SMY | ROW | Search | Competitor | Ai,ROW | Brand,784326640556,Responsive search ad,ENABLED,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Personalise your order today,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,Luxury personalised gifts,,,,Smythson of Bond Street™,British heritage since 1887,Shop luxury leather pieces,Luxury gifts for him,Luxury gifts for her,Gifts for the Home,Personalise your order today,Over 135 years of expertise,Free delivery on orders £300+,Timeless leather craftsmanship,Complimentary gift wrapping,Luxury personalised gifts,,,,Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",Make the ordinary extraordinary and the everyday timeless with Smythson,"A distinctly unique, extraordinary brand catering to extraordinary people since 1887","Discover the perfect gift this Christmas. Thoughtfully made, meaningfully given","This Christmas, celebrate the art of thoughtful gifting with Smythson",https://www.smythson.com/int/
