,AW25 BLACK FRIDAY LIST - EFFECTIVE 17/11/2025 - 01/12/2025,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14.00,15.00,16,17,18.00,19,20,21,22,23,24,25,26,27,28,,,,SRL ONLY,,,-29%,,,,,,,,,FS01 01,FS01 07,FS05 01,FS02 01,FS07 01,FS08 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DUPLICATES,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,077","45,325","3,012,441","11,533,829","8,215,773",,,ORIGINAL RRP,,,,,,CURRENT PRICE,,,,,,MARKDOWN PRICE - (EFFECTIVE 17/11),,,,,,% DISCOUNT,,,,,,% DISCOUNT (CALC),,,,,,CHECK,,,,,,,,,,,,
COMMENT,DUPLICATE STATUS,AW24 MD STATUS,BARCODE,ARTICLE,10 - DIGIT,DESCRIPTION,KEY STYLE GROUP,"SAP 
FINISH","SAP 
COLOUR","SAP 
CAT CODE",SAP MERCH CATEGORY,"SAP 
NEW SUBCAT","SAP 
NEW CAT/GENDER","SAP 
DEPT","SAP 
DIVISION",AW25 SSN STATUS,£ CP,ORIG GBP RTL,VKP2 31.10,CHECK,NEW GBP RTL,CHECK,BF GBP RTL,GM% @ ORIG,GM% @ NEW,BF GBP,DISC%,BF GM%,BF STATUS,MARKETING CAPSULE,EFFECTIVE DATE,DC STK,STR STK,BF SKU COUNT,CURRENT STK U,CURRENT STK COST,CURRENT STK VAL @ FP RRP,CURRENT STK VAL @ INIT BF,,,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,GBP,AIRSIDE,EUR,USD,HKD,JPY,
,DUPLICATE,,5056352317223,1029621,,PMA 3 DRAW JWL BOX N BLUE,3 DRAW JWL BOX,PANAMA,NILE BLUE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,451.05,"2,095.00","2,095.00",0.00,"2,095.00",0.00,"2,095.00",74.2%,74.2%,"1,466.00",30%,63.1%,NEW BF,LEATHER @ 30% OFF,17.11.2025,0,0,0,0,0,0,0,,,"2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","1,466.50","1,466.50","1,711.50","2,096.50","16,730.00","316,400.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352391292,1203334,,PMA 3 DRAW JWL BOX N BLUE,3 DRAW JWL BOX,PANAMA,NILE BLUE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,451.05,"2,095.00","2,095.00",0.00,"2,095.00",0.00,"2,095.00",74.2%,74.2%,"1,466.00",30%,63.1%,NEW BF,LEATHER @ 30% OFF,17.11.2025,0,4,1,4,"1,804","6,983","4,887",,,"2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","1,466.50","1,466.50","1,711.50","2,096.50","16,730.00","316,400.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352391308,1203335,,PMA 3 DRAW JWL BOX SDSTONE,3 DRAW JWL BOX,PANAMA,SANDSTONE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,451.05,"2,095.00","2,095.00",0.00,"2,095.00",0.00,"2,095.00",74.2%,74.2%,"1,466.00",30%,63.1%,NEW BF,LEATHER @ 30% OFF,17.11.2025,0,2,1,2,902,"3,492","2,443",,,"2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","1,466.50","1,466.50","1,711.50","2,096.50","16,730.00","316,400.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352308009,1028655,,PMA 3 DRAW JWL BOX SDSTONE,3 DRAW JWL BOX,PANAMA,SANDSTONE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,451.05,"2,095.00","2,095.00",0.00,"2,095.00",0.00,"2,095.00",74.2%,74.2%,"1,466.00",30%,63.1%,NEW BF,LEATHER @ 30% OFF,17.11.2025,40,2,1,42,"18,944","73,325","51,310",,,"2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","2,095.00","2,095.00","2,445.00","2,995.00","23,900.00","452,000.00","1,466.50","1,466.50","1,711.50","2,096.50","16,730.00","316,400.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352308023,1028658,,PMA DLX JWL BOX BLK,DLX JWL BOX,PANAMA,BLACK,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,824.46,"2,995.00","2,995.00",0.00,"2,995.00",0.00,"2,995.00",67.0%,67.0%,"2,096.00",30%,52.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,14,3,1,17,"14,016","42,429","29,693",,,"2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,096.50","2,096.50","2,586.50","3,076.50","24,150.00","466,200.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352373236,1202711,,PMA DLX JWL BOX N BLUE,DLX JWL BOX,PANAMA,NILE BLUE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,824.46,"2,995.00","2,995.00",0.00,"2,995.00",0.00,"2,995.00",67.0%,67.0%,"2,096.00",30%,52.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,19,3,1,22,"18,138","54,908","38,427",,,"2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,096.50","2,096.50","2,586.50","3,076.50","24,150.00","466,200.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352308030,1028659,,PMA DLX JWL BOX SDSTONE,DLX JWL BOX,PANAMA,SANDSTONE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,824.46,"2,995.00","2,995.00",0.00,"2,995.00",0.00,"2,995.00",67.0%,67.0%,"2,096.00",30%,52.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,11,2,1,13,"10,718","32,446","22,707",,,"2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,995.00","2,995.00","3,695.00","4,395.00","34,500.00","666,000.00","2,096.50","2,096.50","2,586.50","3,076.50","24,150.00","466,200.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352392541,1203381,,PMA JWL BOX W/ TRVL TRAY BLK,JWL BOX W/ TRVL TRAY,PANAMA,BLACK,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.24,"1,650.00","1,650.00",0.00,"1,650.00",0.00,"1,650.00",73.9%,73.9%,"1,155.00",30%,62.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,13,11,1,24,"8,598","33,000","23,100",,,"1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,155.00","1,155.00","1,326.50","1,536.50","12,530.00","249,900.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352308047,1028660,,PMA JWL BOX W/ TRVL TRAY BLK,JWL BOX W/ TRVL TRAY,PANAMA,BLACK,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.24,"1,650.00","1,650.00",0.00,"1,650.00",0.00,"1,650.00",73.9%,73.9%,"1,155.00",30%,62.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,17,4,1,21,"7,523","28,875","20,213",,,"1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,155.00","1,155.00","1,326.50","1,536.50","12,530.00","249,900.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352308061,1028662,,PMA JWL BOX W/ TRVL TRAY N BLUE,JWL BOX W/ TRVL TRAY,PANAMA,NILE BLUE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.24,"1,650.00","1,650.00",0.00,"1,650.00",0.00,"1,650.00",73.9%,73.9%,"1,155.00",30%,62.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,0,6,1,6,"2,149","8,250","5,775",,,"1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,155.00","1,155.00","1,326.50","1,536.50","12,530.00","249,900.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,,,5056352308054,1028661,,PMA JWL BOX W/ TRVL TRAY SDSTONE,JWL BOX W/ TRVL TRAY,PANAMA,SANDSTONE,2300,BOXWORK,LARGE BOXWORK,WOMENS,HOME,Leather,CF,358.24,"1,650.00","1,650.00",0.00,"1,650.00",0.00,"1,650.00",73.9%,73.9%,"1,155.00",30%,62.8%,NEW BF,LEATHER @ 30% OFF,17.11.2025,2,3,1,5,"1,791","6,875","4,813",,,"1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,650.00","1,650.00","1,895.00","2,195.00","17,900.00","357,000.00","1,155.00","1,155.00","1,326.50","1,536.50","12,530.00","249,900.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
,DUPLICATE,,5056352306777,1028520,,MARA LCK WATCH BOX BROWN,LCK WATCH BOX,Mara,BROWN,2300,BOXWORK,MEDIUM BOXWORK,MENS,HOME,Leather,CF,279.70,"1,250.00","1,250.00",0.00,"1,250.00",0.00,"1,250.00",73.1%,73.1%,875.00,30%,61.6%,NEW BF,LEATHER @ 30% OFF,17.11.2025,2,8,1,10,"2,797","10,417","7,292",,,"1,250.00","1,250.00","1,495.00","1,695.00","13,900.00","26,100.00","1,250.00","1,250.00","1,495.00","1,695.00","13,900.00","26,100.00",875.00,875.00,"1,046.50","1,186.50","9,730.00","18,270.00",30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,30.0%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
