Search Term,Campaign Name,Campaign Type,Impressions,Clicks,Conversions
superspace,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,5265,1481,69.47
superspace tiles,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,1935,471,16.12
superspace tiles australia,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,978,274,15.75
superspace,SUP | AU | Shopping 500,SHOPPING,3865,78,7.15
superspace australia,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,705,149,6.28
get super space,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,336,112,6.00
super space,SUP | AU | Search Brand | 600 Exact 5/8,SEARCH,1082,270,5.50
large magnetic tiles,SUP | AU | Search | Generics AI Max On 6/8,SEARCH,345,66,3.22
