Feed name,Feed Id,Customer Id,Upload time
"Black Friday Promotions 2025","406579615","102535465","Nov 18, 2025, 12:02 pm GMT"

Item Id,Line number,Message,Type,Values,Item title
"1029253",,"Offer does not exist",Error,,
"1204040",,"Offer does not exist",Error,,
"1202007",,"Offer does not exist",Error,,
"1017639",,"Offer does not exist",Error,,
"1020136",,"Offer does not exist",Error,,
"1201887",,"Offer does not exist",Error,,
"1029245",,"Offer does not exist",Error,,
"1205152",,"Offer does not exist",Error,,
"1204993",,"Offer does not exist",Error,,
"1201826",,"Offer does not exist",Error,,
"1029388",,"Offer does not exist",Error,,
"1204749",,"Offer does not exist",Error,,
"1204316",,"Offer does not exist",Error,,
"1204996",,"Offer does not exist",Error,,
"1028365",,"Offer does not exist",Error,,
"1205111",,"Offer does not exist",Error,,
"1204232",,"Offer does not exist",Error,,
"1203140",,"Offer does not exist",Error,,
"1029226",,"Offer does not exist",Error,,
"1204076",,"Offer does not exist",Error,,
"1203142",,"Offer does not exist",Error,,
"1202876",,"Offer does not exist",Error,,
"1204819",,"Offer does not exist",Error,,
"1204936",,"Offer does not exist",Error,,
"1204991",,"Offer does not exist",Error,,
"1204273",,"Offer does not exist",Error,,
"1203897",,"Offer does not exist",Error,,
"1203146",,"Offer does not exist",Error,,
"1203407",,"Offer does not exist",Error,,
"1011466",,"Offer does not exist",Error,,
"1203483",,"Offer does not exist",Error,,
"1029713",,"Offer does not exist",Error,,
"1203109",,"Offer does not exist",Error,,
"1024131",,"Offer does not exist",Error,,
"1202135",,"Offer does not exist",Error,,
"1201820",,"Offer does not exist",Error,,
"1200592",,"Offer does not exist",Error,,
"1011754",,"Offer does not exist",Error,,
"1205130",,"Offer does not exist",Error,,
"1204389",,"Offer does not exist",Error,,
"1204445",,"Offer does not exist",Error,,
"1201203",,"Offer does not exist",Error,,
"1022090",,"Offer does not exist",Error,,
"1202880",,"Offer does not exist",Error,,
"1024936",,"Offer does not exist",Error,,
"1201821",,"Offer does not exist",Error,,
"1205045",,"Offer does not exist",Error,,
"1200006",,"Offer does not exist",Error,,
"1029990",,"Offer does not exist",Error,,
"1203417",,"Offer does not exist",Error,,
"1203586",,"Offer does not exist",Error,,
"1029244",,"Offer does not exist",Error,,
"1200777",,"Offer does not exist",Error,,
"1203119",,"Offer does not exist",Error,,
"1204185",,"Offer does not exist",Error,,
"1029938",,"Offer does not exist",Error,,
"1205036",,"Offer does not exist",Error,,
"1204266",,"Offer does not exist",Error,,
"1204761",,"Offer does not exist",Error,,
"1202546",,"Offer does not exist",Error,,
"1204806",,"Offer does not exist",Error,,
"1203928",,"Offer does not exist",Error,,
"1204159",,"Offer does not exist",Error,,
"1204310",,"Offer does not exist",Error,,
"1205136",,"Offer does not exist",Error,,
"1201876",,"Offer does not exist",Error,,
"1204077",,"Offer does not exist",Error,,
"1029749",,"Offer does not exist",Error,,
"1029445",,"Offer does not exist",Error,,
"1203379",,"Offer does not exist",Error,,
"1203933",,"Offer does not exist",Error,,
"1203468",,"Offer does not exist",Error,,
"1204997",,"Offer does not exist",Error,,
"1204398",,"Offer does not exist",Error,,
"1201798",,"Offer does not exist",Error,,
"1029965",,"Offer does not exist",Error,,
"1029342",,"Offer does not exist",Error,,
"1204233",,"Offer does not exist",Error,,
"1202791",,"Offer does not exist",Error,,
"1204338",,"Offer does not exist",Error,,
"1204937",,"Offer does not exist",Error,,
"1204263",,"Offer does not exist",Error,,
"1029214",,"Offer does not exist",Error,,
"1205073",,"Offer does not exist",Error,,
"1201720",,"Offer does not exist",Error,,
"1201433",,"Offer does not exist",Error,,
"1025567",,"Offer does not exist",Error,,
"1029922",,"Offer does not exist",Error,,
"1200564",,"Offer does not exist",Error,,
"1204217",,"Offer does not exist",Error,,
"1203449",,"Offer does not exist",Error,,
"1203158",,"Offer does not exist",Error,,
"1029788",,"Offer does not exist",Error,,
"1201842",,"Offer does not exist",Error,,
"1029710",,"Offer does not exist",Error,,
"1011604",,"Offer does not exist",Error,,
"1203328",,"Offer does not exist",Error,,
"1029466",,"Offer does not exist",Error,,
"1200893",,"Offer does not exist",Error,,
"1204817",,"Offer does not exist",Error,,
"1022770",,"Offer does not exist",Error,,
"1202696",,"Offer does not exist",Error,,
"1204186",,"Offer does not exist",Error,,
"1204156",,"Offer does not exist",Error,,
"1204309",,"Offer does not exist",Error,,
"1204023",,"Offer does not exist",Error,,
"1204391",,"Offer does not exist",Error,,
"1205003",,"Offer does not exist",Error,,
"1028641",,"Offer does not exist",Error,,
"1030138",,"Offer does not exist",Error,,
"1204785",,"Offer does not exist",Error,,
"1029986",,"Offer does not exist",Error,,
"1203371",,"Offer does not exist",Error,,
"1205000",,"Offer does not exist",Error,,
"1204247",,"Offer does not exist",Error,,
"1021492",,"Offer does not exist",Error,,
"1022960",,"Offer does not exist",Error,,
"1011556",,"Offer does not exist",Error,,
"1029447",,"Offer does not exist",Error,,
"1203503",,"Offer does not exist",Error,,
"1017178",,"Offer does not exist",Error,,
"1201856",,"Offer does not exist",Error,,
"1029784",,"Offer does not exist",Error,,
"1202270",,"Offer does not exist",Error,,
"1204402",,"Offer does not exist",Error,,
"1201687",,"Offer does not exist",Error,,
"1205004",,"Offer does not exist",Error,,
"1022083",,"Offer does not exist",Error,,
"1200894",,"Offer does not exist",Error,,
"1205021",,"Offer does not exist",Error,,
"1201090",,"Offer does not exist",Error,,
"1201832",,"Offer does not exist",Error,,
"1201921",,"Offer does not exist",Error,,
"1025911",,"Offer does not exist",Error,,
"1203931",,"Offer does not exist",Error,,
"1029255",,"Offer does not exist",Error,,
"1202555",,"Offer does not exist",Error,,
"1203426",,"Offer does not exist",Error,,
"1029223",,"Offer does not exist",Error,,
"1029220",,"Offer does not exist",Error,,
"1201708",,"Offer does not exist",Error,,
"1029238",,"Offer does not exist",Error,,
"1202231",,"Offer does not exist",Error,,
"1203909",,"Offer does not exist",Error,,
"1018242",,"Offer does not exist",Error,,
"1029790",,"Offer does not exist",Error,,
"1002643",,"Offer does not exist",Error,,
"1017889",,"Offer does not exist",Error,,
"1204098",,"Offer does not exist",Error,,
"1205037",,"Offer does not exist",Error,,
"1029936",,"Offer does not exist",Error,,
"1201922",,"Offer does not exist",Error,,
"1029751",,"Offer does not exist",Error,,
"1029251",,"Offer does not exist",Error,,
"1204088",,"Offer does not exist",Error,,
"1029744",,"Offer does not exist",Error,,
"1203912",,"Offer does not exist",Error,,
"1029799",,"Offer does not exist",Error,,
"1011440",,"Offer does not exist",Error,,
"1029919",,"Offer does not exist",Error,,
"1205019",,"Offer does not exist",Error,,
"1030158",,"Offer does not exist",Error,,
"1017775",,"Offer does not exist",Error,,
"1204224",,"Offer does not exist",Error,,
"1029242",,"Offer does not exist",Error,,
"1200896",,"Offer does not exist",Error,,
"1204483",,"Offer does not exist",Error,,
"1205050",,"Offer does not exist",Error,,
"1201867",,"Offer does not exist",Error,,
"1204742",,"Offer does not exist",Error,,
"1030140",,"Offer does not exist",Error,,
"1201785",,"Offer does not exist",Error,,
"1029848",,"Offer does not exist",Error,,
"1202830",,"Offer does not exist",Error,,
"1204246",,"Offer does not exist",Error,,
"1203174",,"Offer does not exist",Error,,
"1022750",,"Offer does not exist",Error,,
"1025511",,"Offer does not exist",Error,,
"1204397",,"Offer does not exist",Error,,
"1029379",,"Offer does not exist",Error,,
"1200924",,"Offer does not exist",Error,,
"1200898",,"Offer does not exist",Error,,
"1205246",,"Offer does not exist",Error,,
"1011772",,"Offer does not exist",Error,,
"1011773",,"Offer does not exist",Error,,
"1011756",,"Offer does not exist",Error,,
"1203472",,"Offer does not exist",Error,,
"1203143",,"Offer does not exist",Error,,
"1204594",,"Offer does not exist",Error,,
"1025570",,"Offer does not exist",Error,,
"1020852",,"Offer does not exist",Error,,
"1203487",,"Offer does not exist",Error,,
"1205028",,"Offer does not exist",Error,,
"1204265",,"Offer does not exist",Error,,
"1205132",,"Offer does not exist",Error,,
"1029317",,"Offer does not exist",Error,,
"1028523",,"Offer does not exist",Error,,
"1205061",,"Offer does not exist",Error,,
"1203450",,"Offer does not exist",Error,,
"1019967",,"Offer does not exist",Error,,
"1201817",,"Offer does not exist",Error,,
"1204209",,"Offer does not exist",Error,,
"1029900",,"Offer does not exist",Error,,
"1201409",,"Offer does not exist",Error,,
"1203326",,"Offer does not exist",Error,,
"1205646",,"Offer does not exist",Error,,
"1029781",,"Offer does not exist",Error,,
"1022929",,"Offer does not exist",Error,,
"1204199",,"Offer does not exist",Error,,
"1029939",,"Offer does not exist",Error,,
"1205239",,"Offer does not exist",Error,,
"1202266",,"Offer does not exist",Error,,
"1204406",,"Offer does not exist",Error,,
"1030151",,"Offer does not exist",Error,,
"1201596",,"Offer does not exist",Error,,
"1029406",,"Offer does not exist",Error,,
"1204018",,"Offer does not exist",Error,,
"1205244",,"Offer does not exist",Error,,
"1204069",,"Offer does not exist",Error,,
"1203395",,"Offer does not exist",Error,,
"1201855",,"Offer does not exist",Error,,
"1027067",,"Offer does not exist",Error,,
"1029277",,"Offer does not exist",Error,,
"1029911",,"Offer does not exist",Error,,
"1203967",,"Offer does not exist",Error,,
"1204281",,"Offer does not exist",Error,,
"1203906",,"Offer does not exist",Error,,
"1029928",,"Offer does not exist",Error,,
"1020536",,"Offer does not exist",Error,,
"1204560",,"Offer does not exist",Error,,
"1204726",,"Offer does not exist",Error,,
"1203908",,"Offer does not exist",Error,,
"1204248",,"Offer does not exist",Error,,
"1018236",,"Offer does not exist",Error,,
"1204482",,"Offer does not exist",Error,,
"1201999",,"Offer does not exist",Error,,
"1030137",,"Offer does not exist",Error,,
"1200293",,"Offer does not exist",Error,,
"1200944",,"Offer does not exist",Error,,
"1203178",,"Offer does not exist",Error,,
"1203334",,"Offer does not exist",Error,,
"1205149",,"Offer does not exist",Error,,
"1200923",,"Offer does not exist",Error,,
"1011816",,"Offer does not exist",Error,,
"1029316",,"Offer does not exist",Error,,
"1204270",,"Offer does not exist",Error,,
"1011427",,"Offer does not exist",Error,,
"1022089",,"Offer does not exist",Error,,
"1022755",,"Offer does not exist",Error,,
"1029921",,"Offer does not exist",Error,,
"1204352",,"Offer does not exist",Error,,
"1204811",,"Offer does not exist",Error,,
"1205040",,"Offer does not exist",Error,,
"1029390",,"Offer does not exist",Error,,
"1205233",,"Offer does not exist",Error,,
"1202699",,"Offer does not exist",Error,,
"1201960",,"Offer does not exist",Error,,
"1028792",,"Offer does not exist",Error,,
"1202260",,"Offer does not exist",Error,,
"1203899",,"Offer does not exist",Error,,
"1030154",,"Offer does not exist",Error,,
"1200895",,"Offer does not exist",Error,,
"1029252",,"Offer does not exist",Error,,
"1204353",,"Offer does not exist",Error,,
"1029319",,"Offer does not exist",Error,,
"1203141",,"Offer does not exist",Error,,
"1204340",,"Offer does not exist",Error,,
"1202693",,"Offer does not exist",Error,,
"1011483",,"Offer does not exist",Error,,
"1201889",,"Offer does not exist",Error,,
"1204754",,"Offer does not exist",Error,,
"1204435",,"Offer does not exist",Error,,
"1028368",,"Offer does not exist",Error,,
"1029366",,"Offer does not exist",Error,,
"1204944",,"Offer does not exist",Error,,
"1203907",,"Offer does not exist",Error,,
"1201207",,"Offer does not exist",Error,,
"1201813",,"Offer does not exist",Error,,
"1202836",,"Offer does not exist",Error,,
"1029246",,"Offer does not exist",Error,,
"1203107",,"Offer does not exist",Error,,
"1029881",,"Offer does not exist",Error,,
"1028597",,"Offer does not exist",Error,,
"1203147",,"Offer does not exist",Error,,
"1029240",,"Offer does not exist",Error,,
"1200899",,"Offer does not exist",Error,,
"1204136",,"Offer does not exist",Error,,
"1203929",,"Offer does not exist",Error,,
"1202094",,"Offer does not exist",Error,,
"1028660",,"Offer does not exist",Error,,
"1204083",,"Offer does not exist",Error,,
"1029341",,"Offer does not exist",Error,,
"1204215",,"Offer does not exist",Error,,
"1204387",,"Offer does not exist",Error,,
"1202212",,"Offer does not exist",Error,,
"1015325",,"Offer does not exist",Error,,
"1030134",,"Offer does not exist",Error,,
"1203335",,"Offer does not exist",Error,,
"1204283",,"Offer does not exist",Error,,
"1202801",,"Offer does not exist",Error,,
"1201885",,"Offer does not exist",Error,,
"1205075",,"Offer does not exist",Error,,
"1029969",,"Offer does not exist",Error,,
"1203453",,"Offer does not exist",Error,,
"1205034",,"Offer does not exist",Error,,
"1205038",,"Offer does not exist",Error,,
"1203209",,"Offer does not exist",Error,,
"1205187",,"Offer does not exist",Error,,
"1029961",,"Offer does not exist",Error,,
"1204145",,"Offer does not exist",Error,,
"1201825",,"Offer does not exist",Error,,
"1029875",,"Offer does not exist",Error,,
"1201678",,"Offer does not exist",Error,,
"1029779",,"Offer does not exist",Error,,
"1204592",,"Offer does not exist",Error,,
"1204099",,"Offer does not exist",Error,,
"1203070",,"Offer does not exist",Error,,
"1200949",,"Offer does not exist",Error,,
"1028422",,"Offer does not exist",Error,,
"1203332",,"Offer does not exist",Error,,
"1200209",,"Offer does not exist",Error,,
"1202563",,"Offer does not exist",Error,,
"1204085",,"Offer does not exist",Error,,
"1201873",,"Offer does not exist",Error,,
"1204022",,"Offer does not exist",Error,,
"1204027",,"Offer does not exist",Error,,
"1204609",,"Offer does not exist",Error,,
"1201771",,"Offer does not exist",Error,,
"1200005",,"Offer does not exist",Error,,
"1029926",,"Offer does not exist",Error,,
"1011798",,"Offer does not exist",Error,,
"1017660",,"Offer does not exist",Error,,
"1204808",,"Offer does not exist",Error,,
"1029974",,"Offer does not exist",Error,,
"1027927",,"Offer does not exist",Error,,
"1204184",,"Offer does not exist",Error,,
"1029243",,"Offer does not exist",Error,,
"1029352",,"Offer does not exist",Error,,
"1202698",,"Offer does not exist",Error,,
"1201770",,"Offer does not exist",Error,,
"1203145",,"Offer does not exist",Error,,
"1030146",,"Offer does not exist",Error,,
"1204350",,"Offer does not exist",Error,,
