Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/study/courses/diploma-interior-design?utm_source=google-ads&utm_medium=ppc&utm_id=01A1+-+COURSES+%2F+DIPLOMA+-+Interior+Design+-+UK,2760,325,11.78%,16.072402,4.95%,£1243.42,£13.07,0.01
https://www.nda.ac.uk/study/interior-design-degrees/,53374,1072,2.01%,11.019264,1.03%,£912.83,£5252.89,5.75
https://www.nda.ac.uk/study/courses/diploma-interior-design?utm_id=01A1+-+COURSES+%2F+DIPLOMA+-+Interior+Design+-+UK,882,109,12.36%,6.0,5.50%,£358.36,£254.00,0.71
https://www.nda.ac.uk/study/interior-design-courses/,58886,1614,2.74%,5.02824,0.31%,£1520.00,£1403.72,0.92
https://www.nda.ac.uk/study/design-courses/?utm_source=NEWGADS08.20&utm_medium=CPC&utm_campaign=BRAND-NATIONAL-DESIGN-ACADEMY&utm_term=NATIONAL%20DESIGN%20ACADEMY,570,185,32.46%,5.0,2.70%,£207.03,£897.50,4.34
https://www.nda.ac.uk/study/courses/?utm_source=SITELINK&utm_medium=CPC&utm_campaign=SITELINK&utm_term=NA&utm_content=SITELINK,42205,200,0.47%,4.0,2.00%,£336.10,£3.00,0.01
https://www.nda.ac.uk/study/courses/degrees-interior-design,3413,131,3.84%,1.0,0.76%,£142.38,£1.00,0.01
https://www.nda.ac.uk/study/courses/diploma-interior-design,26670,749,2.81%,1.0,0.13%,£107.41,£1.00,0.01
https://www.nda.ac.uk/study/courses/degrees-interior-design/?utm_source=google&utm_medium=cpc&utm_campaign=campaign,919,66,7.18%,0.5,0.76%,£265.02,£0.50,0.00
https://www.nda.ac.uk/blog/interior-design-interview-tips/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/interior-design-awards/,8,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/5-reasons-to-be-a-british-institute-of-interior-design-member/,12,6,50.00%,0.0,0.00%,£26.44,£0.00,0.00
https://www.nda.ac.uk/study/how-to-apply/,12,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/top-tips-for-interior-design-students-to-get-the-most-of-out-of-their-study/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/professional-interior-design-3-course-bundle/,8,2,25.00%,0.0,0.00%,£0.27,£0.00,0.00
https://www.nda.ac.uk/blog/best-interior-design-apps-part-2/,35,2,5.71%,0.0,0.00%,£11.22,£0.00,0.00
