Campaign Name,Ad Group Name,Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
NDA - Interior Design Degree Level,Interior Design BA,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design BA,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design BA,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Online,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Distance Learning,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Degree Courses,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Interior Design Foundation Degree,http://www.nda.ac.uk/courses/foundation-degree-fda-in-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Retail Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-in-Retail-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Retail Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-in-Retail-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Retail Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-in-Retail-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Heritage Interior Design Degree,http://www.nda.ac.uk/courses/ba-hons-heritage-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Heritage Interior Design Degree,http://www.nda.ac.uk/courses/ba-hons-heritage-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design Degree Level,Heritage Interior Design Degree,http://www.nda.ac.uk/courses/ba-hons-heritage-interior-design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Workshops),NDA - Interior Design (Workshops),http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Workshops),NDA - Interior Design (Workshops),http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Workshops),NDA - Interior Design (Workshops),http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA International - Europe,Europe - excluding UK and Eire,http://www.nda.ac.uk/international,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA International - Europe,Europe - excluding UK and Eire,http://www.nda.ac.uk/international,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA International - China,China,http://www.nda.ac.uk/International,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Distance Learning,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Distance Learning,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Distance Learning,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Distance Learning,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Distance Learning,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Academies,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Academies,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Academies,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Academies,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design College,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design College,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design College,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design College,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design College,http://www.nda.ac.uk/courses/Foundation-Degree-%28FdA%29-in-Interior-Design.aspx,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
NDA - Interior Design (Degree) MOBILE Merged With NDA - Interior Design Enhanced (Degree)  21/5/2013,Interior Design Degree Online,http://www.nda.ac.uk,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
