Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions,Clicks,Conversions,Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Diploma - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target 24/4,PAUSED,Interior Design Degree,PAUSED,https://www.nda.ac.uk/study/interior-design-degrees/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,15645,82,0.0,£0.00,£67.45,0.00
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,ENABLED,Competitors - Non UK,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UAE 175 No Target 24/4,ENABLED,Remarketing UAE,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,ENABLED,Remarketing,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - ROTW 200 13/1 No Target 23/9,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,28860,621,11.019264,£5252.89,£141.73,37.06
