Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/study/equipment-and-resources/,1,1,100.00%,0.0,0.00%,£4.42,£0.00,0.00
https://www.nda.ac.uk/blog/top-tips-for-interior-design-students-to-get-the-most-of-out-of-their-study/,52,3,5.77%,0.0,0.00%,£2.53,£0.00,0.00
https://motorsport.nda.ac.uk/our-courses/fees-for-uk-students/,696,1,0.14%,0.0,0.00%,£4.78,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/professional-interior-design-3-course-bundle/,27,6,22.22%,0.0,0.00%,£13.84,£0.00,0.00
https://www.nda.ac.uk/blog/how-to-become-an-interior-designer-in-15-practical-steps/,1416,105,7.42%,0.0,0.00%,£25.69,£0.00,0.00
https://www.nda.ac.uk/blog/how-to-create-a-winning-interior-design-presentation/,211,14,6.64%,0.0,0.00%,£3.36,£0.00,0.00
https://www.nda.ac.uk/study/courses/ba-hons-degree/interior-design/cpd/,24,1,4.17%,0.0,0.00%,£3.37,£0.00,0.00
http://www.nda.ac.uk/courses/Diploma-in-Professional-Interior-Design.aspx,7,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/gla-diploma-discount/,1225,3,0.24%,0.0,0.00%,£8.25,£0.00,0.00
https://motorsport.nda.ac.uk/about-us/,23,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/accreditation/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/ucas-manchester-exhibition/,103,3,2.91%,0.0,0.00%,£6.41,£0.00,0.00
http://www.nda.ac.uk/funding/?id=16,209,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/about/?utm_source=SITELINK&utm_medium=CPC&utm_campaign=SITELINK&utm_term=NA&utm_content=SITELINK,242413,291,0.12%,0.0,0.00%,£143.80,£0.00,0.00
https://www.nda.ac.uk/study/courses/short-courses/ai-for-interior-design/,107,14,13.08%,0.0,0.00%,£5.11,£0.00,0.00
https://www.nda.ac.uk/blog/become-an-interior-designer-can-you-talk-the-talk/,43,1,2.33%,0.0,0.00%,£0.06,£0.00,0.00
https://www.nda.ac.uk/blog/transferring-your-degree-in-interior-design/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/dubai/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/ba-hons-degree/interior-design/,810,69,8.52%,0.0,0.00%,£188.19,£0.00,0.00
https://www.nda.ac.uk/blog/study-interior-design-online/,40,2,5.00%,0.0,0.00%,£3.14,£0.00,0.00
https://www.nda.ac.uk/blog/becoming-a-freelance-interior-designer/,89,4,4.49%,0.0,0.00%,£3.98,£0.00,0.00
https://www.nda.ac.uk/blog/page/11/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
