Campaign Name,Campaign Status,Asset Group Name,Asset Group Status,Landing Page URL(s),Impressions (90d),Clicks (90d),Conversions (90d),Conv Value (£),Cost (£),ROAS
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - Oman/Saudi/Bahrain/Kuwait/Qatar 135 Split 11/3 No Target,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,892169,4129,0.0,£0.00,£1117.55,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/degrees-interior-design,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/interior-design-degrees/,76703,525,0.0,£0.00,£670.06,0.00
NDA | P Max | Interior Design Degree - USA/Canada 250 Split 11/3,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/interior-design-courses/,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Diploma - Jobs,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Diploma,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Remarketing,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Interior Design Degree,ENABLED,https://www.nda.ac.uk/study/courses/degrees-interior-design,347556,4570,127.676511,£8364.93,£5181.23,1.61
NDA | P Max | Interior Design Degree - UK 100 17/3 No Target 30/4,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Remarketing,ENABLED,https://www.nda.ac.uk/study/interior-design-courses/,2536504,30322,19.97777,£1418.67,£2959.40,0.48
NDA | P Max Reboot | Interior Design Diploma - ROTW 200 13/1 No target 28/5,ENABLED,Competitors - Interior Design UK,PAUSED,https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=google-ads&utm_medium=ppc&utm_id=PMax+Campaign+2024,0,0,0.0,£0.00,£0.00,0.00
