Category,Product Name,Merchant Centre Item ID,Performance Notes
Switches & Sockets,"2 Gang 2 Way Toggle Light Switch Matt Black Toggle with Brushed Brass / Matte Gold Plate Finish",shopify_gb_9131018846529_47842177450305,"Not in top 100 - Zombie"
Switches & Sockets,"3 Gang 2 Way Toggle Light Switch Brushed Brass / Matte Gold Finish",shopify_gb_9046424846657_47610446709057,"Not in top 100 - Zombie"
Switches & Sockets,"Premium 3 Gang 2 Way Matt Black Toggle Light Switch",shopify_gb_9046435463489_47610547503425,"Not in top 100 - Zombie"
Switches & Sockets,"4 Gang 2 Way Toggle Light Switch Brushed Brass / Matte Gold Finish",shopify_gb_9046442770753_47610615660865,"Not in top 100 - Zombie"
Switches & Sockets,"4 Gang 2 Way Toggle Light Switch Matt Black Finish",shopify_gb_9046444048705_47610627096897,"Not in top 100 - Zombie"
Switches & Sockets,"1 Gang Knurled Dimmer Switch in Matt Black - Lighting Control",shopify_gb_9049777865025_47625460744513,"Not in top 100 - Zombie"
Switches & Sockets,"1 Gang Knurled Dimmer Switch Brushed Brass / Matt Gold Finish",shopify_gb_9049850839361_47625637822785,"Not in top 100 - Zombie"
Switches & Sockets,"2 Gang Knurled Dimmer Switch Brushed Brass / Matt Gold Finish",shopify_gb_9048174657857_47619450503489,"Not in top 100 - Zombie"
Switches & Sockets,"2 Gang Knurled Dimmer Switch Matt Black Finish",shopify_gb_9049832096065_47625587687745,"Not in top 100 - Zombie"
Switches & Sockets,"Screwless Brushed Brass / Matt Gold Switched Single Plug Socket 1 Gang 13 Amp DP with USB & USBC Point",shopify_gb_14582126739833_53471662670201,"Not in top 100 - Zombie"
Switches & Sockets,"Screwless Brushed Brass / Matt Gold Switched Single Plug Socket 1 Gang 13 Amp DP with 2 USB Point",shopify_gb_9092858315073_47756147884353,"Not in top 100 - Zombie"
Switches & Sockets,"Screwless Matt Black Plate Gold Switched Finish Double Plug Sockets 2 Gang 13 Amp DP",shopify_gb_9092875813185_47756185141569,"Not in top 100 - Zombie"
Switches & Sockets,"Screwless Matt Black Plate Gold Switched Double Plug Socket 2 Gang 13 Amp DP with 2 USB Point",shopify_gb_9592153309505_48983746838849,"Not in top 100 - Zombie"
Switches & Sockets,"Screwless Matt Black Plate Gold Switched Single Plug Socket 1 Gang 13 Amp DP with USB and USBC Point",shopify_gb_9592193581377_48983842160961,"Not in top 100 - Zombie"
Switches & Sockets,"Brushed Brass / Matte Gold Finish 2 Gang 2 Way Rocker Light Switch",shopify_gb_14582200992121_53471874482553,"Not in top 100 - Zombie"
Switches & Sockets,"Brushed Brass / Matt Gold Plate Black Switched 2 Gang 2 Way Rocker Light Switch",shopify_gb_14582202007929_53471877529977,"Not in top 100 - Zombie"
Switches & Sockets,"Matte Black Plate Gold Switched 1 Gang 2 Way Rocker Light Switch",shopify_gb_14582200598905_53471873335673,"Not in top 100 - Zombie"
Switches & Sockets,"Matt Black Plate Gold Switched 2 Gang 2 Way Rocker Light Switch",shopify_gb_14582201418105_53471875793273,"Not in top 100 - Zombie"
Switches & Sockets,"Matt Black Finish 3 Gang 2 Way Rocker Light Switch",shopify_gb_14582208037241_53471895945593,"Not in top 100 - Zombie"
Switches & Sockets,"Matt Black Finish 4 Gang 2 Way Rocker Light Switch",shopify_gb_14582211215737_53471901090169,"Not in top 100 - Zombie"
Switches & Sockets,"Brushed Brass / Matte Gold 4 Gang 2 Way Rocker Light Switch",shopify_gb_14582211346809_53471901417849,"Not in top 100 - Zombie"

# Total rows: 54
