Search Term,Campaign Name,Campaign Type,Clicks
extra large magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,6
superspace the big set,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,21
magnet tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,184
super space magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,140
large magnet tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,91
magnetic building toys,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,13
large magna tiles fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,49
big blocks for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,18
large magna tiles fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,67
superspace building ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,79
getsuperspace com,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,4
superspace sale,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,10
magnetic blocks for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,41
get super space reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,5
superspace big set,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,30
fort tiles for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,45
magnetic tiles life size,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,2
giant kids building blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,3
super space the big set,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,8
large building blocks for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,38
super space tiles ideas,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,55
getsuperspace,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,82
magnatile fort,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,25
fort making kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,53
fort builders,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,14
best building toys for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,7
fort building magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,15
giant fort magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,28
space tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,77
