Search Term,Campaign Name,Campaign Type,Clicks
building blocks for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,45
giant magnet tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,87
big magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,229
large building magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,5
getsuperspace reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,21
large magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,289
magnetic fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,61
kids fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,368
giant fort tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,6
best gifts for 3 year olds,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
superspace big set,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,56
large magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,130
superspace dupe,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,10
super space tiles ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,101
large magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,97
magnetic panel playhouse,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,150
superspace rectangles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,7
superspace tiles ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,223
super space,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,62
fort magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,50
superspace magnetic tiles review,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,13
giant magnetic tiles for forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,102
large magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,601
best fort building for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,2
super space,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,462
big magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,139
giant magna tiles for fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
magnetic tiles for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,212
fort magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,115
fort building kit for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,530
magna tiles large squares,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,10
space saver magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,32
big magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,151
toys for 3 year old,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,11
magnetic fort building panels,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,89
superspace magnetic tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,2362
super space,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,50
big magna tiles fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,35
play hut tents,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,1
superspace ideas,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,644
lifesize magnatiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,5
superspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,2185
supertiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,15
giant building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,7
superspace tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,9088
superspace tiles review,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,110
large magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,167
the big set 24 panels,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,11
large magnet tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
magnet fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,92
giant felt magnatiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,20
superspace us,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,59
fort for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,140
mega tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
magnetic tiles for forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
fort magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,37
magnetic fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,38
superspace tiles review,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,67
imaginehaven magnetic playhouse big set,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,19
big magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,55
magnetic fort building tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,18
kid fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,33
the big set 24 panels,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,40
superspace the big set,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,49
get super space,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,63
magnetic fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,221
magnetic panels for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,46
superspace com,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,9
magnetic fort for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,12
build a fort for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,49
make a fort kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,28
build a fort kits,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,5
magnetic fort building set,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,14
fort magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,49
magnetic blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,134
space magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,33
superspace magnetic tiles ideas,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,31
magnetic panels for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,26
magnetic building tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,225
cardboard play structure,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,1
superspace builds,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,12
toys,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,79
big magnet tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,35
magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,364
space saver tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,11
superspace discount code,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,15
fort building for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,73
fort blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,29
gift for 2 year old boy,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,3
giant magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,608
superspace reviews,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,33
super space panels,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,16
life size magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,124
magnetic fort kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,23
fort builder kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,34
super space tiles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,794
getsuperspace,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,979
superpace,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,17
magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,330
giant magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,1607
space saver tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,12
magnetic fort building tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,31
life size magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,397
get super space,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,14
super space magnetic tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,100
fort building magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,36
building tiles for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,57
fort building set,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,31
fort kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,61
get superspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,50
magnetic fort building tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,24
superspace magnetic tiles ideas,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,18
super space tiles,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,108
spacetiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,17
giant magnetic tiles superspace,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,43
fort building kit,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,719
large fort magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,3
magnet fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,391
jumbo magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,32
magnetic cubby house tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,2
large magnatiles for forts,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,27
jumbo magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,45
getsuperspace,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,59
giant fort magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,7
getsuperspace,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,26
superspac,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,13
superspace magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,118
big magnetic tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,201
getsuperspace com,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,14
magnatile fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,82
giant magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,201
space blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,14
kids forts,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,42
magnet tile fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,14
magnetic fort building panels,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,81
large fabric magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,5
super space building tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,10
superspace,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,10225
giant magnetic tiles for fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,67
magnetic fort tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,549
building panels for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,15
superspace rectangles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,9
superspace magnetic tiles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,614
superspace,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,395
large magnetic tiles for kids,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,68
big magnatiles for forts,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,14
fort building blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,55
magnetic fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,257
large building blocks,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,4
mega magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,13
superspace building tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,22
superspace designs,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,29
mega tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,30
jumbo magnatiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,14
super spaces,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,23
magnetic panel playhouse big set,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,35
magnetic panel fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,4
fort building tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,45
fort builder for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,51
super space magnetic tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,302
magnetic tiles for kids,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,167
fort building,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,202
superspace tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,396
superspace the big set,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,8
kids indoor fort building kit,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,13
fort for kids,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,171
superspace tiles review,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,14
gifts for 4 year old boys,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
magna tiles fort,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,28
large magnetic tiles to build forts,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,40
large magnatiles for forts,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,30
fort magna tiles,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,24
magnet building blocks,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,18
fort magnet tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,23
superspace ideas,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,191
big magna tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,100
giant magnet tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,110
magnetic fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,71
fort building magnets,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,6
magnet fort tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,91
giant magna tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,609
